Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Hyundai Santa Fe III,1381000,2013,109502,внедорожник 5 дв.,чёрный,3.3,270,Бензин,40500,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103371933-76b135e3/
Hyundai Santa Fe III Рестайлинг,1745000,2016,160000,внедорожник 5 дв.,белый,2.2,200,Дизель,10000,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103424044-77df931f/
Hyundai Santa Fe III,1265000,2012,142000,внедорожник 5 дв.,коричневый,2.4,175,Бензин,7875,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103321746-3d006a42/
Hyundai Santa Fe III,1170000,2013,75000,внедорожник 5 дв.,чёрный,2.2,197,Дизель,9850,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103083289-fae62f19/
Hyundai Santa Fe III Рестайлинг,1639000,2016,66618,внедорожник 5 дв.,чёрный,2.4,171,Бензин,7695,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103234629-e8385fb0/
Hyundai Santa Fe II Рестайлинг,990000,2011,121000,внедорожник 5 дв.,белый,2.2,197,Дизель,9850,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103042711-fa7a13bd/
Hyundai Santa Fe II Рестайлинг,1250000,2011,136805,внедорожник 5 дв.,серый,2.2,197,Дизель,9850,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103730434-af8850ea/
Hyundai Santa Fe II Рестайлинг,1099000,2011,133306,внедорожник 5 дв.,белый,2.2,197,Дизель,9850,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103745877-0884686c/
Hyundai Santa Fe II Рестайлинг,1050000,2010,168850,внедорожник 5 дв.,серый,2.4,174,Бензин,7830,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103321146-6a0b0716/
Hyundai Santa Fe III,1365000,2012,86000,внедорожник 5 дв.,белый,2.2,197,Дизель,9850,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103748163-ffd6d1ed/
,,2018,11600,внедорожник 5 дв.,пурпурный,2.4,188,Бензин,9400,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1101870495-bf93f263/
Hyundai Santa Fe I,390000,2007,157000,внедорожник 5 дв.,чёрный,2.0,112,Дизель,2800,механическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103544171-5829acf4/
Hyundai Santa Fe IV,2800000,2020,9261,внедорожник 5 дв.,чёрный,2.4,188,Бензин,9400,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103552374-c3f6abee/
Hyundai Santa Fe IV,2297000,2018,23485,внедорожник 5 дв.,серебристый,2.4,188,Бензин,9400,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103737139-876846be/
Hyundai Santa Fe IV,2818000,2019,49640,внедорожник 5 дв.,чёрный,2.2,200,Дизель,10000,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103754382-843a438d/
Hyundai Santa Fe IV,2195000,2018,57600,внедорожник 5 дв.,белый,2.4,188,Бензин,9400,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103753571-65f62fdc/
Hyundai Santa Fe IV Рестайлинг,3417000,2021,2049,внедорожник 5 дв.,коричневый,2.2,199,Дизель,9950,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103335023-f7856a5d/
Hyundai Santa Fe I,555000,2008,155000,внедорожник 5 дв.,чёрный,2.7,173,Бензин,7785,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103396152-91244ba7/
Hyundai Santa Fe III Рестайлинг,1664601,2015,81480,внедорожник 5 дв.,коричневый,2.4,171,Бензин,7695,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103430410-c558f7a7/
Hyundai Santa Fe III,1765000,2015,54477,внедорожник 5 дв.,чёрный,2.4,175,Бензин,7875,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103623882-afd7da90/
Hyundai Santa Fe III,1515000,2014,154577,внедорожник 5 дв.,серый,2.2,197,Дизель,9850,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103753580-4070b974/
Hyundai Santa Fe II Рестайлинг,989000,2011,215425,внедорожник 5 дв.,чёрный,2.4,174,Бензин,7830,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103753357-1ebaa6ea/
Hyundai Santa Fe II Рестайлинг,1085000,2011,172000,внедорожник 5 дв.,серый,2.2,197,Дизель,9850,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/hyundai/santa_fe/1103613131-07689cb6/
