Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Hyundai Solaris II,1070000,2018,16000,седан,чёрный,1.6,123,Бензин,4182,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,2.7,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104854401-20303d72/
Hyundai Solaris II,925000,2019,74600,седан,чёрный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104748035-dfd08ff8/
Hyundai Solaris II,655000,2018,150000,седан,белый,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,1,Оригинал,2.2,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104808252-a52b0c1b/
Hyundai Solaris I Рестайлинг,530000,2014,221877,хэтчбек 5 дв.,серебристый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104656454-4e17cd9f/
Hyundai Solaris II,748000,2019,129750,седан,белый,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104808661-765f6e7f/
Hyundai Solaris I Рестайлинг,612000,2014,132236,седан,чёрный,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104822950-8cc2bb3e/
Hyundai Solaris I Рестайлинг,530000,2015,160078,седан,синий,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1103529703-dace2b75/
Hyundai Solaris II,927000,2019,24506,седан,серебристый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104774658-ef19fe45/
Hyundai Solaris II,960000,2017,37949,седан,серый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104673546-b269d746/
Hyundai Solaris I Рестайлинг,679000,2015,142445,хэтчбек 5 дв.,бежевый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104581405-c5c65a94/
Hyundai Solaris I,510000,2013,106577,хэтчбек 5 дв.,чёрный,1.4,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104825487-8f479c1e/
Hyundai Solaris II Рестайлинг,1173000,2020,16489,седан,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104240618-fbfd6023/
