Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Hyundai Sonata IV (EF) Рестайлинг,550000,2004,57000,седан,бежевый,2.0,131,Бензин,4585,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103982558-6b1c727f/
Hyundai Sonata VIII (DN8),2050000,2020,23826,седан,серый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,1.1,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104811817-62fa7f10/
Hyundai Sonata VII (LF) Рестайлинг,950000,2019,101000,седан,жёлтый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104790958-a8f7a1a3/
Hyundai Sonata IV (EF) Рестайлинг,250000,2005,133024,седан,серебристый,2.0,131,Бензин,4585,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104215129-910ab30e/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,338000,2008,162000,седан,чёрный,2.0,137,Бензин,4795,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104888277-7234158e/
Hyundai Sonata VII (LF) Рестайлинг,,2017,65000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,3.5,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104842510-ef3d6942/
Hyundai Sonata VII (LF) Рестайлинг,1321000,2018,88827,седан,синий,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104722552-26abca02/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,314000,2007,80000,седан,красный,2.7,172,Бензин,7740,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104838253-56c95280/
Hyundai Sonata VII (LF) Рестайлинг,1099000,2019,95000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,2.1,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104789095-4cffaaaf/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,285000,2005,152000,седан,серебристый,2.0,131,Бензин,4585,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104657606-81738307/
Hyundai Sonata VII (LF) Рестайлинг,1149000,2018,119000,седан,серебристый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104897542-dea4f963/
Hyundai Sonata VII (LF) Рестайлинг,1535000,2018,70676,седан,серый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103862379-020ff40e/
Hyundai Sonata VII (LF) Рестайлинг,1504000,2019,49333,седан,чёрный,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104583352-063edda8/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,430000,2009,156802,седан,серебристый,2.7,172,Бензин,7740,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104836942-a5f51ff8/
Hyundai Sonata VII (LF) Рестайлинг,1680000,2019,45877,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104892236-219b55dd/
Hyundai Sonata VII (LF) Рестайлинг,1497000,2019,99102,седан,серебристый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104636720-0c6a7ab4/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,439000,2008,134898,седан,чёрный,2.0,137,Бензин,4795,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104884307-1130110d/
Hyundai Sonata VIII (DN8),2200000,2020,11012,седан,белый,2.5,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104032261-42b10f26/
Hyundai Sonata IV (EF) Рестайлинг,299000,2004,167000,седан,чёрный,2.0,131,Бензин,4585,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104766019-c546a85c/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,379000,2008,175000,седан,серебристый,2.0,137,Бензин,4795,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104868716-a2feb79c/
Hyundai Sonata IV (EF) Рестайлинг,320000,2005,320000,седан,чёрный,2.7,172,Бензин,7740,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,5.2,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104606737-014f6289/
