Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Привод,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Kia Ceed II Рестайлинг,890000,2016,80133,хэтчбек 5 дв.,белый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104052548-725e2d9e/
Kia Ceed II Рестайлинг,865000,2016,150000,хэтчбек 5 дв.,белый,1.6,130,Бензин,4420,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1102968806-1121eca2/
Kia Ceed II Рестайлинг,985000,2017,58000,хэтчбек 5 дв.,красный,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103413763-de3e9d42/
Kia Ceed III,1360000,2018,11976,хэтчбек 5 дв.,белый,1.4,140,Бензин,4900,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103897644-f856d479/
Kia Ceed I,465000,2008,140000,универсал 5 дв.,чёрный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103717606-e04b7600/
Kia Ceed II,495000,2015,248957,универсал 5 дв.,чёрный,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103405835-3fb376b0/
Kia Ceed III,1419000,2018,17633,хэтчбек 5 дв.,красный,1.4,140,Бензин,4900,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103643982-8c287ee7/
Kia Ceed II Рестайлинг,1047000,2018,42714,универсал 5 дв.,чёрный,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103971610-a6d8b98b/
Kia Ceed III,1189000,2019,76334,универсал 5 дв.,чёрный,1.4,140,Бензин,4900,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103602410-e30b8550/
Kia Ceed II Рестайлинг,695000,2017,244000,универсал 5 дв.,белый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104073666-8b0b8dff/
Kia Ceed II,698000,2012,145146,хэтчбек 5 дв.,синий,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104029847-56ad0561/
Kia Ceed II Рестайлинг,860000,2018,143897,универсал 5 дв.,белый,1.6,135,Бензин,4725,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103393422-1c80616c/
Kia Ceed I Рестайлинг,455000,2011,151500,хэтчбек 3 дв.,белый,1.6,126,Бензин,4410,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103669411-d1b7cbb0/
Kia Ceed III,1299000,2019,40000,универсал 5 дв.,серый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103643966-fc8aea93/
Kia Ceed III,1449000,2019,2192,универсал 5 дв.,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103603434-8f57e2f1/
Kia Ceed II,903000,2015,98028,хэтчбек 5 дв.,коричневый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104070661-1c4823e6/
Kia Ceed II,635000,2012,167020,хэтчбек 5 дв.,белый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103966960-d3f69b46/
Kia Ceed III,1529000,2019,36734,хэтчбек 5 дв.,белый,1.4,140,Бензин,4900,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104070987-0b0eade5/
,,2019,53000,хэтчбек 5 дв.,белый,1.4,140,Бензин,4900,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104016763-b0b41d75/
Kia Ceed II,640000,2012,149435,хэтчбек 5 дв.,белый,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103766715-333f2db0/
Kia Ceed I,448000,2008,204680,хэтчбек 5 дв.,синий,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104070683-bc73421c/
Kia Ceed II Рестайлинг,710000,2017,177000,универсал 5 дв.,белый,1.6,130,Бензин,4550,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103674162-90d708de/
Kia Ceed II,850000,2015,103253,хэтчбек 5 дв.,синий,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104070673-aa9a3e9f/
Kia Ceed II,620000,2013,75000,хэтчбек 5 дв.,красный,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103333487-9c9df2a4/
Kia Ceed I,365000,2007,176000,хэтчбек 5 дв.,чёрный,1.6,115,Дизель,2875,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103330079-59bd738b/
Kia Ceed III,1320000,2019,33714,универсал 5 дв.,серый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103319284-beb584d5/
Kia Ceed I Рестайлинг,648000,2012,94476,хэтчбек 5 дв.,синий,1.6,125,Бензин,3125,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104068612-78897f79/
Kia Ceed I Рестайлинг,541000,2011,141672,хэтчбек 5 дв.,бежевый,1.6,125,Бензин,3125,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103904358-452e0f99/
Kia Ceed II,735000,2013,187710,универсал 5 дв.,серебристый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103822850-366535ab/
Kia Ceed II Рестайлинг,891000,2017,150000,хэтчбек 5 дв.,серебристый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103766712-c36c744a/
Kia Ceed II Рестайлинг,730000,2017,42500,универсал 5 дв.,серебристый,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103636495-bdc53ed7/
Kia Ceed II Рестайлинг,1063000,2015,83154,хэтчбек 5 дв.,красный,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103950912-033c3997/
