Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Kia Optima IV,1410000,2017,159028,седан,белый,2.4,188,Бензин,9212,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1103941444-d529de8f/
Kia Optima IV,1465000,2018,110000,седан,серый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,3.2,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104878326-bb27dab5/
Kia Optima IV Рестайлинг,1380000,2019,51582,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,1.9,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104814235-eddda974/
Kia Optima IV,1485000,2016,144987,седан,чёрный,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104901075-315f35ac/
Kia Optima IV Рестайлинг,1450000,2019,43620,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104626546-5da35b00/
Kia Optima IV,1528000,2017,83034,седан,чёрный,2.0,245,Бензин,18375,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104263509-5107647f/
Kia Optima IV Рестайлинг,1260000,2019,173923,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104626549-a6094842/
Kia Optima IV Рестайлинг,2199000,2019,6737,седан,синий,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104667289-35370149/
Kia Optima IV Рестайлинг,1265000,2018,151398,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104864410-6f26779b/
Kia Optima IV,1460011,2017,35578,седан,чёрный,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104749647-088beac9/
Kia Optima III,967000,2013,181791,седан,серебристый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104748289-e6996755/
Kia Optima IV Рестайлинг,1687000,2018,47850,седан,серый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104898566-4c441609/
Kia Optima IV Рестайлинг,1200000,2018,180000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1102104270-987bc95b/
Kia Optima IV Рестайлинг,1240000,2019,112000,седан,жёлтый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104900951-a7fd446a/
Kia Optima IV,1577000,2017,68591,седан,синий,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104771560-98fd6085/
Kia Optima IV,1608000,2018,59108,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104897868-7262ce36/
Kia Optima III Рестайлинг,1530000,2015,61956,седан,чёрный,2.4,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104893957-d0a175de/
Kia Optima IV Рестайлинг,1749000,2019,60083,седан,чёрный,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104251590-029d2efc/
Kia Optima IV Рестайлинг,2054000,2019,33000,седан,белый,2.0,245,Бензин,18375,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104642088-95323cd6/
Kia Optima IV,1513000,2017,102743,седан,коричневый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104740163-f8089f22/
Kia Optima IV Рестайлинг,,2018,69000,седан,серый,2.4,188,Бензин,9212,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,2.9,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104700943-0f609faf/
Kia Optima IV Рестайлинг,1916000,2018,29200,седан,чёрный,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104705434-c3389b2d/
Kia Optima III Рестайлинг,1220000,2014,139800,седан,серый,2.4,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,6.7,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104058419-efe82c36/
Kia Optima IV Рестайлинг,1888000,2019,35700,седан,серебристый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104217625-e9463608/
Kia Optima IV,1237000,2016,99460,седан,коричневый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104756792-11e8dbb3/
Kia Optima III,959000,2012,120746,седан,серебристый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104738457-6799dc96/
Kia Optima IV Рестайлинг,1750000,2020,4533,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104889343-06365264/
Kia Optima IV Рестайлинг,1560000,2019,74000,седан,белый,2.0,150,"Бензин, газобаллонное оборудование",5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,1.3,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104800392-af2c321d/
Kia Optima IV Рестайлинг,1475000,2019,79316,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104818774-3652b0a8/
Kia Optima IV,985000,2016,343181,седан,чёрный,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104202389-8190a6f0/
Kia Optima IV Рестайлинг,1770000,2018,41005,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104202353-3423de83/
Kia Optima IV Рестайлинг,1620000,2018,142226,седан,серый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104818825-4775056d/
Kia Optima IV,1050000,2017,125000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104899618-9ac2b27f/
Kia Optima IV,1289000,2018,107545,седан,серебристый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104883132-7fc52a01/
Kia Optima IV Рестайлинг,1425000,2019,147000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104884392-7be2f521/
Kia Optima IV Рестайлинг,1968000,2020,18586,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104772093-86f6b5d2/
Kia Optima III Рестайлинг,1094000,2014,134000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104884395-d223c37f/
Kia Optima III,949000,2012,97000,седан,белый,2.4,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104866617-12a3644d/
Kia Optima III Рестайлинг,1148000,2015,95518,седан,чёрный,2.0,150,Бензин,5250,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104667587-d34c489a/
Kia Optima III,932000,2013,129000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104642078-c159c411/
Kia Optima IV Рестайлинг,1852000,2019,28233,седан,чёрный,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104605894-61c211ff/
Kia Optima IV,1806700,2018,103161,седан,синий,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104879829-87df11b4/
Kia Optima IV,1499000,2016,75117,седан,синий,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104877650-c0110721/
