Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Kia Rio IV,995000,2020,22000,седан,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104216371-b5cc0543/
Kia Rio 4-speed III,558000,2012,253080,седан,голубой,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104764785-09a92514/
Kia Rio IV,540000,2017,202492,седан,жёлтый,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104831748-e7fdba47/
Kia Rio X-Line IV,940000,2018,26600,хэтчбек 5 дв.,серый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104649967-c5880570/
Kia Rio III Рестайлинг,640000,2017,156242,седан,серый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104252467-f74af4b1/
Kia Rio X-Line IV,1205000,2019,40103,хэтчбек 5 дв.,чёрный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104248120-c1caa4a4/
Kia Rio X-Line IV,,2019,37000,хэтчбек 5 дв.,белый,1.6,123,Бензин,4182,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,2.4,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104885404-24e34deb/
Kia Rio X-Line IV,829000,2018,80936,хэтчбек 5 дв.,синий,1.4,100,Бензин,1200,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104651621-dd3c9cb8/
Kia Rio X-Line IV,1220000,2020,10810,хэтчбек 5 дв.,синий,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1103884001-92212ad3/
Kia Rio X-Line IV,1490000,2020,9107,хэтчбек 5 дв.,чёрный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104825420-f0c5ec9e/
Kia Rio X-Line IV,1160000,2019,8888,хэтчбек 5 дв.,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1103972013-a077d64b/
Kia Rio III Рестайлинг,725000,2017,121831,седан,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104749681-2a26addd/
Kia Rio III Рестайлинг,750000,2015,88281,седан,коричневый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104673277-3abe3713/
Kia Rio III Рестайлинг,760000,2015,75088,хэтчбек 5 дв.,чёрный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104749690-cda60c20/
Kia Rio X-Line IV,1230000,2019,44072,хэтчбек 5 дв.,серый,1.4,100,Бензин,1200,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104749737-0c9717c6/
Kia Rio III,668000,2014,63485,седан,белый,1.4,107,Бензин,2675,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104830455-7b9e2f90/
Kia Rio III Рестайлинг,740000,2016,151267,хэтчбек 5 дв.,чёрный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104749736-ff58c429/
Kia Rio III Рестайлинг,780000,2017,74599,седан,серебристый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1103883929-4abbf543/
Kia Rio III Рестайлинг,699000,2016,99401,хэтчбек 5 дв.,чёрный,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104210063-a0dddceb/
Kia Rio III Рестайлинг,570000,2015,102970,седан,белый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1103883993-032a2546/
Kia Rio 6-speed III,625000,2014,132659,седан,белый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104825490-bcd75a7b/
Kia Rio II Рестайлинг,469000,2011,184321,хэтчбек 5 дв.,белый,1.4,95,Бензин,1140,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104581499-5fdcd629/
Kia Rio II Рестайлинг,390000,2010,107585,хэтчбек 5 дв.,бежевый,1.4,95,Бензин,1140,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1103883988-5601e7fa/
Kia Rio II Рестайлинг,380000,2010,216995,седан,серебристый,1.4,95,Бензин,1140,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104216840-f4544a96/
Kia Rio IV,897900,2017,70388,седан,красный,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104748369-8af22e13/
Kia Rio III Рестайлинг,790409,2016,72216,хэтчбек 5 дв.,коричневый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104899142-6bf2bc62/
Kia Rio X-Line IV,1076000,2018,24200,хэтчбек 5 дв.,чёрный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104899185-b4032fbe/
Kia Rio X-Line IV,990000,2018,105911,хэтчбек 5 дв.,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104899112-6ccd2945/
Kia Rio III Рестайлинг,899000,2017,104464,седан,чёрный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104899827-aed43544/
Kia Rio IV,1300000,2020,4331,седан,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104899121-81572452/
Kia Rio II Рестайлинг,501000,2011,137783,седан,чёрный,1.4,95,Бензин,1140,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104774657-4a5c570c/
Kia Rio IV,833000,2017,117000,седан,синий,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104820291-1710b782/
Kia Rio X-Line IV,1130000,2018,27790,хэтчбек 5 дв.,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104787919-d2ea0222/
Kia Rio III Рестайлинг,500000,2017,126386,седан,белый,1.4,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1103070804-1dd8be83/
Kia Rio X-Line IV,948000,2018,55569,хэтчбек 5 дв.,синий,1.4,100,Бензин,1200,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104895509-bf685ab5/
Kia Rio 4-speed III,599000,2011,147000,седан,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104818103-a98bbad6/
Kia Rio 4-speed III,590000,2012,102430,седан,голубой,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1103997195-d94e2dd5/
Kia Rio IV,820000,2019,95000,седан,жёлтый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104857006-8f0c1cc4/
Kia Rio IV,799000,2017,93500,седан,оранжевый,1.6,123,Бензин,4182,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104897755-ea659d00/
Kia Rio X IV Рестайлинг,1338000,2021,400,хэтчбек 5 дв.,серый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104810117-060a898a/
Kia Rio IV Рестайлинг,1200000,2021,6000,седан,белый,1.4,100,Бензин,1200,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104899863-35a4b954/
Kia Rio X-Line IV,795000,2018,97155,хэтчбек 5 дв.,синий,1.4,100,Бензин,1200,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104657479-9d38e37b/
Kia Rio IV,924000,2018,89075,седан,красный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104611954-3363b0ad/
Kia Rio IV,815000,2018,187617,седан,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104212649-f15fe23c/
Kia Rio III Рестайлинг,565000,2015,135000,седан,голубой,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104747360-d6749b36/
Kia Rio X-Line IV,999000,2018,58000,хэтчбек 5 дв.,коричневый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104255798-b021cb55/
Kia Rio III Рестайлинг,625000,2015,186000,седан,коричневый,1.6,123,Бензин,4182,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104891604-72fc1fd1/
Kia Rio IV,721000,2017,47544,седан,белый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1103702556-bba8d052/
Kia Rio III Рестайлинг,684000,2016,145125,седан,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104707777-85f925c8/
Kia Rio X-Line IV,996000,2018,75550,хэтчбек 5 дв.,коричневый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104617506-60936002/
Kia Rio III Рестайлинг,733000,2016,62300,хэтчбек 5 дв.,синий,1.4,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104756794-b8f2f229/
Kia Rio III Рестайлинг,649000,2016,268170,хэтчбек 5 дв.,белый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104651452-2a0f5ce8/
Kia Rio X-Line IV,1419000,2020,13747,хэтчбек 5 дв.,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104735470-938a6d8c/
Kia Rio X-Line IV,1069000,2019,24164,хэтчбек 5 дв.,синий,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104181996-0052ec0a/
Kia Rio X-Line IV,799000,2017,59606,хэтчбек 5 дв.,чёрный,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/rio/1104006977-341a5cc6/
