Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес

Kia Sorento II Рестайлинг,1275000,2013,118685,внедорожник 5 дв.,зелёный,2.4,175,Бензин,7875,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103641445-230d8cc9/

Kia Sorento III Prime Рестайлинг,2120000,2019,15000,внедорожник 5 дв.,серый,2.2,200,Дизель,10000,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103570949-04429c85/

Kia Sorento I,410000,2002,200000,внедорожник 5 дв.,бежевый,2.5,140,Дизель,4900,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103227428-989348b6/

Kia Sorento II Рестайлинг,1450000,2015,97000,внедорожник 5 дв.,коричневый,2.4,175,Бензин,7875,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103412867-ba970c04/

Kia Sorento II,945000,2011,136875,внедорожник 5 дв.,чёрный,2.4,175,Бензин,7875,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103638116-fd31face/

Kia Sorento III Prime,2197000,2017,47300,внедорожник 5 дв.,чёрный,2.2,200,Дизель,10000,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103748549-3dba3c3d/

Kia Sorento II Рестайлинг,1445000,2014,81232,внедорожник 5 дв.,чёрный,2.2,197,Дизель,9850,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103646027-4e149537/

