Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Mazda 3 III (BM),749000,2014,135600,хэтчбек 5 дв.,серый,1.6,104,Бензин,3120,автоматическая,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103692242-5e88ffa9/
Mazda 3 I (BK) Рестайлинг,445000,2007,147000,седан,серебристый,1.6,105,Бензин,2625,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103598460-96c537e4/
Mazda 3 II (BL) Рестайлинг,560000,2011,189954,хэтчбек 5 дв.,коричневый,1.6,105,Бензин,2625,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103682730-9b73c74b/
Mazda 3 I (BK),390000,2006,158000,хэтчбек 5 дв.,жёлтый,2.0,150,Бензин,5250,механическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103544480-d3491f58/
Mazda 3 IV (BP),1730000,2019,17650,седан,чёрный,1.5,120,Бензин,3000,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103027567-a6a4c86c/
Mazda 3 I (BK) Рестайлинг,399000,2007,142000,седан,красный,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103508687-76dc2651/
Mazda 3 I (BK) Рестайлинг,450000,2006,143000,седан,красный,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103358567-8b6caf09/
Mazda 3 III (BM) Рестайлинг,1429990,2018,51235,седан,белый,1.5,120,Бензин,3000,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103467232-75412ce5/
Mazda 3 II (BL),350000,2009,220000,седан,чёрный,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103593724-c8221a5e/
Mazda 3 I (BK) Рестайлинг,375000,2008,180000,хэтчбек 5 дв.,чёрный,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103747798-ceb0084a/
Mazda 3 I (BK),335000,2005,258359,седан,красный,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103677941-93c3ea88/
Mazda 3 III (BM) Рестайлинг,1399000,2017,33993,седан,серый,1.5,120,Бензин,3000,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103683641-b8fabbb3/
Mazda 3 I (BK),415000,2005,197008,седан,синий,2.0,150,Бензин,5250,механическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103167760-d0ed12dc/
Mazda 3 I (BK) Рестайлинг,420000,2008,215227,седан,красный,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103623883-c0cbc3fa/
Mazda 3 II (BL) Рестайлинг,569000,2011,196543,седан,серебристый,1.6,105,Бензин,3570,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103592918-cac9b6e2/
Mazda 3 II (BL) Рестайлинг,599000,2012,206097,седан,белый,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103506907-1393a955/
Mazda 3 II (BL) Рестайлинг,714000,2012,111687,седан,белый,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103506824-3c48c6f5/
Mazda 3 III (BM),1120000,2016,99293,седан,чёрный,1.6,104,Бензин,2600,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/3/1103692019-effee957/
