Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес

Mazda 6 III (GJ) Рестайлинг,1780000,2016,84000,седан,чёрный,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103650337-3ab51fa3/

Mazda 6 III (GJ) Рестайлинг,1460000,2015,176000,седан,красный,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103217194-5e5e58b7/

Mazda 6 II (GH) Рестайлинг,845000,2011,124000,седан,белый,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103399319-8b5411f1/

Mazda 6 III (GJ) Рестайлинг 2,1537000,2018,68242,седан,серый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103111274-b33fc212/

Mazda 6 II (GH) Рестайлинг,685000,2012,89304,седан,белый,1.8,120,Бензин,3000,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1102846416-145d04ed/

Mazda 6 II (GH),470000,2007,171428,седан,чёрный,1.8,120,Бензин,3000,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103760487-149f5073/

Mazda 6 III (GJ),1120000,2012,92000,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103401972-2368048a/

,,2018,29300,седан,белый,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1101739378-c93aceac/

Mazda 6 II (GH) Рестайлинг,885000,2012,126678,седан,серый,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103333779-c1bcb73d/

Mazda 6 III (GJ) Рестайлинг,1520000,2017,91982,седан,белый,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103555908-6813610b/

Mazda 6 III (GJ) Рестайлинг 2,1715000,2019,44237,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1102693365-a2cf5572/

Mazda 6 III (GJ) Рестайлинг,1900000,2017,14150,седан,коричневый,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103357939-baff1a15/

