Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Skoda Rapid I Рестайлинг,795000,2019,40000,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1101911394-9a6a8c69/
Skoda Rapid I Рестайлинг,810000,2019,76000,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103760677-4fa5c581/
Skoda Rapid I Рестайлинг,790000,2018,115000,лифтбек,белый,1.6,90,Бензин,1035,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103676217-bf1493b8/
Skoda Rapid I,535000,2015,130453,лифтбек,белый,1.2,75,Бензин,900,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103607171-5a452f77/
Skoda Rapid I,789000,2015,71000,лифтбек,белый,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103752990-4e904551/
Skoda Rapid I Рестайлинг,669000,2018,85000,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103219630-4ebe5139/
Skoda Rapid I Рестайлинг,909000,2018,32732,лифтбек,белый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103528733-664d67b4/
Skoda Rapid I Рестайлинг,745000,2017,19000,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103045802-dcbd841f/
Skoda Rapid I,785000,2016,140226,лифтбек,белый,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103763320-605bf293/
Skoda Rapid I,595000,2015,132000,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103368209-da3418e3/
Skoda Rapid I Рестайлинг,1140000,2020,27440,лифтбек,синий,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103757943-446980e0/
,,2020,5300,лифтбек,чёрный,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1101849915-e2becac7/
Skoda Rapid II,1447000,2020,3866,лифтбек,белый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103755098-29f16de9/
Skoda Rapid II,1349000,2020,16636,лифтбек,синий,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103760300-b7fc5dcc/
