Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Toyota Camry VII (XV50),1195000,2012,148000,седан,серебристый,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,5.8,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104965138-56b2d2b7/
Toyota Camry VII (XV50) Рестайлинг 2,1830000,2017,118585,седан,чёрный,3.5,249,Бензин,18675,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,4.4,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104258469-18d14fdf/
Toyota Camry VII (XV50) Рестайлинг,1450000,2015,128000,седан,серый,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104649901-f2877f05/
Toyota Camry VII (XV50),955000,2012,284498,седан,чёрный,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104682441-01d28da9/
Toyota Camry VII (XV50) Рестайлинг 2,1192000,2017,56000,седан,чёрный,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1103608892-cee7d961/
Toyota Camry VIII (XV70),1940000,2019,40100,седан,чёрный,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104728451-4ad388cb/
Toyota Camry VII (XV50),1118000,2013,198989,седан,чёрный,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104764512-08ca1a2f/
Toyota Camry VI (XV40),699000,2008,301300,седан,чёрный,2.4,167,Бензин,7515,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104745840-892d007e/
Toyota Camry VIII (XV70),1849000,2018,71406,седан,белый,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104804448-0c9c0265/
Toyota Camry VII (XV50),1539000,2012,12582,седан,серый,2.0,148,Бензин,5180,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104779559-3c9c0872/
Toyota Camry VIII (XV70),2065000,2018,100943,седан,серебристый,3.5,249,Бензин,18675,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104630895-deef35f3/
Toyota Camry VIII (XV70),,2020,532,седан,чёрный,3.5,249,Бензин,18675,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104971008-ef5906a4/
Toyota Camry VIII (XV70),1949000,2019,15101,седан,чёрный,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104698287-031e15ff/
Toyota Camry VII (XV50) Рестайлинг,1335000,2016,193702,седан,чёрный,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104718263-7c30318a/
Toyota Camry VII (XV50) Рестайлинг,1499000,2016,115674,седан,чёрный,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104745261-56659551/
Toyota Camry VII (XV50) Рестайлинг,1275000,2015,440861,седан,чёрный,3.5,249,Бензин,18675,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104803765-955ea498/
Toyota Camry VII (XV50),1115000,2012,152488,седан,чёрный,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104744266-ebf905e0/
Toyota Camry VII (XV50) Рестайлинг 2,1540000,2017,145001,седан,чёрный,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104854494-705fd50d/
Toyota Camry VII (XV50),1213000,2012,105424,седан,чёрный,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104927133-be18db8a/
Toyota Camry VIII (XV70),1900000,2018,80045,седан,белый,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104278942-b8e76cc4/
Toyota Camry VII (XV50) Рестайлинг,1419000,2015,96729,седан,серый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104719436-7e0e1eff/
Toyota Camry VIII (XV70),1812000,2019,44188,седан,белый,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104159843-8a774bf3/
Toyota Camry V (XV30),590000,2004,130000,седан,чёрный,2.4,152,Бензин,6840,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104825477-0fcabdca/
Toyota Camry VIII (XV70),2137000,2019,84456,седан,чёрный,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104979777-5e3839f7/
Toyota Camry VII (XV50),1199000,2014,120000,седан,чёрный,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104968931-e2aa5eee/
Toyota Camry VII (XV50) Рестайлинг,1217000,2017,125111,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104918669-ce7a85c2/
Toyota Camry VII (XV50) Рестайлинг,1700000,2016,47195,седан,чёрный,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104979974-4f85c09b/
Toyota Camry Japan Market VII (XV50),1200000,2011,179000,седан,чёрный,2.5,181,Бензин,9050,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,2.3,Растаможен,https://auto.ru/cars/used/sale/toyota/camry/1104214499-7bccf455/
