Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Volkswagen Jetta VI,685000,2013,95986,седан,чёрный,1.6,105,Бензин,2625,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103484042-7d9e986a/
Volkswagen Jetta VI Рестайлинг,779000,2015,73698,седан,серый,1.6,105,Бензин,3066,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103604696-5791e56e/
Volkswagen Jetta VI Рестайлинг,860000,2016,88000,седан,белый,1.4,125,Бензин,4250,роботизированная,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103494348-3616e1e6/
Volkswagen Jetta VII,1875000,2020,14510,седан,серый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103430476-65d6977e/
Volkswagen Jetta VI Рестайлинг,930000,2015,27000,седан,чёрный,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103751599-116eff2e/
Volkswagen Jetta V,390000,2010,144000,седан,чёрный,1.6,102,Бензин,2550,роботизированная,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1102936357-bb3dae63/
Volkswagen Jetta VI Рестайлинг,1000000,2018,101481,седан,белый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103758374-30cb23e0/
Volkswagen Jetta VI,699000,2014,139500,седан,белый,1.4,122,Бензин,3050,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103751126-06c06a44/
Volkswagen Jetta V,519000,2010,190604,седан,красный,1.6,102,Бензин,2550,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103758661-6a4149d6/
Volkswagen Jetta VI Рестайлинг,839130,2016,107970,седан,белый,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103033451-30a33cb1/
Volkswagen Jetta VII,1900000,2019,9407,седан,белый,1.4,150,Бензин,5100,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103311305-73e7af6c/
Volkswagen Jetta VI,679000,2012,144873,седан,серебристый,1.6,105,Бензин,2625,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103739062-7d3af7fa/
Volkswagen Jetta VII,1300000,2019,14371,седан,чёрный,1.4,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103648668-43e3a56d/
Volkswagen Jetta V,485000,2009,165175,седан,серый,1.6,102,Бензин,2550,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103522376-c313ab2b/
Volkswagen Jetta VI,830000,2014,82800,седан,коричневый,1.4,122,Бензин,3050,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103674174-17d81ee9/
Volkswagen Jetta V,365000,2007,217000,седан,белый,1.6,102,Бензин,2550,механическая,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1102875797-c1e9f7f7/
,,2016,63000,седан,синий,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1101736087-7768b0d7/
Volkswagen Jetta VI,697000,2013,134000,седан,белый,1.6,105,Бензин,2625,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103733081-12cb51d4/
Volkswagen Jetta VI,819000,2013,84489,седан,белый,1.6,105,Бензин,3570,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103728016-f3b926d5/
Volkswagen Jetta V,385000,2008,137000,седан,серый,1.6,102,Бензин,2550,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103703727-db99013f/
Volkswagen Jetta VI Рестайлинг,1019000,2018,82807,седан,бежевый,1.6,110,Бензин,2750,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103726870-7ff77549/
Volkswagen Jetta VI,510000,2012,190780,седан,синий,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103371209-2b9e2765/
Volkswagen Jetta VI Рестайлинг,659000,2015,239994,седан,белый,1.6,85,Бензин,1020,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103599189-bc6a6982/
Volkswagen Jetta VI,849000,2013,83144,седан,серебристый,1.4,122,Бензин,4148,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/jetta/1103728184-c28dbd0a/
