Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес

Volkswagen Tiguan II,1800000,2017,84959,внедорожник 5 дв.,серебристый,2.0,180,Бензин,9000,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/tiguan/1103067005-baa0f232/

Volkswagen Tiguan I Рестайлинг,1255000,2014,113000,внедорожник 5 дв.,белый,2.0,210,Бензин,13650,роботизированная,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/tiguan/1103663081-8d874758/

Volkswagen Tiguan I Рестайлинг,945000,2015,82000,внедорожник 5 дв.,серый,1.4,150,Бензин,5250,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/tiguan/1103691989-5a75a176/

Volkswagen Tiguan I,650000,2008,87975,внедорожник 5 дв.,белый,2.0,170,Бензин,7650,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/tiguan/1102811870-d3d81f4e/

Volkswagen Tiguan II,1385000,2018,65079,внедорожник 5 дв.,белый,1.4,125,Бензин,3125,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/tiguan/1103020123-0981ea3e/

Volkswagen Tiguan II,2930000,2019,3050,внедорожник 5 дв.,белый,2.0,180,Бензин,9000,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/tiguan/1103757365-5581489a/

Volkswagen Tiguan II,1640000,2017,128632,внедорожник 5 дв.,коричневый,2.0,150,Дизель,5250,роботизированная,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/tiguan/1103290301-ee4721b7/

Volkswagen Tiguan II,2280000,2020,16585,внедорожник 5 дв.,чёрный,1.4,150,Бензин,5250,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/tiguan/1103442135-ad52a71f/

Volkswagen Tiguan I Рестайлинг,745000,2011,83400,внедорожник 5 дв.,синий,1.4,122,Бензин,3050,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/tiguan/1103528305-6ebe810d/

Volkswagen Tiguan II,1595000,2017,23000,внедорожник 5 дв.,чёрный,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/tiguan/1102896548-3f0f854f/

Volkswagen Tiguan I Рестайлинг,845000,2011,129933,внедорожник 5 дв.,серебристый,2.0,170,Бензин,7650,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/tiguan/1103627722-08569bfa/

Volkswagen Tiguan I Рестайлинг,800000,2012,177007,внедорожник 5 дв.,белый,2.0,170,Бензин,7650,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/tiguan/1103491059-481db419/

Volkswagen Tiguan II,1690000,2017,106108,внедорожник 5 дв.,белый,2.0,180,Бензин,9000,роботизированная,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/tiguan/1103557170-db96d606/

Volkswagen Tiguan I Рестайлинг,939000,2011,124911,внедорожник 5 дв.,красный,2.0,140,Дизель,4900,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/tiguan/1102697878-c4031885/

,,2013,126000,внедорожник 5 дв.,чёрный,2.0,170,Бензин,8500,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/volkswagen/tiguan/1101898927-f8d75a7b/

